2026-09-24T11:51:15.002+03:00 [s1] [O] [SYS] CHATTER NODE LoRa-Chatter-1B44
2026-09-24T11:51:20.246+03:00 [s2] [O] [SYS] CHATTER NODE LoRa-Chatter-72E0
2026-09-24T11:51:42.791+03:00 [s1] [I] /id
2026-09-24T11:51:42.792+03:00 [s1] [I] /version
2026-09-24T11:51:42.794+03:00 [s2] [I] /id
2026-09-24T11:51:42.796+03:00 [s2] [I] /version
2026-09-24T11:51:42.856+03:00 [s1] [O] [SYS] CHATTER NODE LoRa-Chatter-1B44
2026-09-24T11:51:42.862+03:00 [s1] [O] [SYS] FIRMWARE Chatter git=0fa01bd7a220d25101716bc84089a21e714739b9 state=clean env=esp32-s3-n16r8
2026-09-24T11:51:42.879+03:00 [s2] [O] [SYS] CHATTER NODE LoRa-Chatter-72E0
2026-09-24T11:51:42.902+03:00 [s1] [O] [SYS] FIRMWARE IMAGE validation_sha256=9af98dffa689c6b29f657aca4269c463d0af017011e755b7d40053fc374211ef status=OK slot=0
2026-09-24T11:51:42.907+03:00 [s1] [O] [SYS] BUILD META toolchain_sha256=a087c73c0094f7d5c7bce96d3b44b5349361527190730cac76aaf8087289bbfb pio=6.2.0
2026-09-24T11:51:42.926+03:00 [s2] [O] [SYS] FIRMWARE Chatter git=0fa01bd7a220d25101716bc84089a21e714739b9 state=clean env=esp32-s3-n16r8
2026-09-24T11:51:42.931+03:00 [s2] [O] [SYS] FIRMWARE IMAGE validation_sha256=9af98dffa689c6b29f657aca4269c463d0af017011e755b7d40053fc374211ef status=OK slot=0
2026-09-24T11:51:42.936+03:00 [s2] [O] [SYS] BUILD META toolchain_sha256=a087c73c0094f7d5c7bce96d3b44b5349361527190730cac76aaf8087289bbfb pio=6.2.0
2026-09-24T11:52:25.656+03:00 [s1] [I] /heartbeat off
2026-09-24T11:52:25.658+03:00 [s1] [I] /diag off
2026-09-24T11:52:25.659+03:00 [s1] [I] /echo-loop stop
2026-09-24T11:52:25.661+03:00 [s1] [I] /cancel all
2026-09-24T11:52:25.663+03:00 [s1] [I] /power 2
2026-09-24T11:52:25.665+03:00 [s1] [I] /freq 470
2026-09-24T11:52:25.667+03:00 [s1] [I] /sf 7
2026-09-24T11:52:25.669+03:00 [s1] [I] /bw 500
2026-09-24T11:52:25.670+03:00 [s2] [I] /heartbeat off
2026-09-24T11:52:25.672+03:00 [s2] [I] /diag off
2026-09-24T11:52:25.674+03:00 [s2] [I] /echo-loop stop
2026-09-24T11:52:25.675+03:00 [s2] [I] /cancel all
2026-09-24T11:52:25.677+03:00 [s2] [I] /power 2
2026-09-24T11:52:25.677+03:00 [s2] [I] /freq 470
2026-09-24T11:52:25.679+03:00 [s2] [I] /sf 7
2026-09-24T11:52:25.681+03:00 [s2] [I] /bw 500
2026-09-24T11:52:25.742+03:00 [s1] [O] [SYS] HEARTBEAT OFF
2026-09-24T11:52:25.763+03:00 [s2] [O] [SYS] HEARTBEAT OFF
2026-09-24T11:52:25.786+03:00 [s1] [O] [SYS] DIAG already OFF
2026-09-24T11:52:25.792+03:00 [s1] [O] [SYS] DELIVERY CANCEL: nothing pending
2026-09-24T11:52:25.792+03:00 [s1] [O] [SYS] ECHO LOOP already stopped
2026-09-24T11:52:25.793+03:00 [s1] [O] [SYS] POWER 2 dBm SAVED
2026-09-24T11:52:25.794+03:00 [s1] [O] [SYS] FREQ 470 MHz SAVED
2026-09-24T11:52:25.795+03:00 [s1] [O] [SYS] SF 7 SAVED
2026-09-24T11:52:25.809+03:00 [s2] [O] [SYS] DIAG already OFF
2026-09-24T11:52:25.814+03:00 [s2] [O] [SYS] DELIVERY CANCEL: nothing pending
2026-09-24T11:52:25.815+03:00 [s2] [O] [SYS] ECHO LOOP already stopped
2026-09-24T11:52:25.816+03:00 [s2] [O] [SYS] POWER 2 dBm SAVED
2026-09-24T11:52:25.818+03:00 [s2] [O] [SYS] FREQ 470 MHz SAVED
2026-09-24T11:52:25.818+03:00 [s2] [O] [SYS] SF 7 SAVED
2026-09-24T11:52:41.033+03:00 [s1] [I] /config
2026-09-24T11:52:41.034+03:00 [s2] [I] /config
2026-09-24T11:52:41.087+03:00 [s1] [O] [SYS] CFG schema=2 storage=NVS freq_oob=OFF
2026-09-24T11:52:41.089+03:00 [s1] [O] [SYS] CFG RADIO power=2 dBm freq=470 MHz sf=7 bw=500 kHz
2026-09-24T11:52:41.092+03:00 [s1] [O] [SYS] CFG LINK heartbeat=OFF retry=ON attempts=5 diag=OFF
2026-09-24T11:52:41.109+03:00 [s2] [O] [SYS] CFG schema=2 storage=NVS freq_oob=OFF
2026-09-24T11:52:41.110+03:00 [s2] [O] [SYS] CFG RADIO power=2 dBm freq=470 MHz sf=7 bw=500 kHz
2026-09-24T11:52:41.114+03:00 [s2] [O] [SYS] CFG LINK heartbeat=OFF retry=ON attempts=5 diag=OFF
2026-09-24T11:53:12.984+03:00 [s2] [I] /heartbeat on
2026-09-24T11:53:13.058+03:00 [s2] [O] [SYS] HEARTBEAT ON
2026-09-24T11:53:44.926+03:00 [s1] [I] /diag size 225
2026-09-24T11:53:44.987+03:00 [s1] [O] [SYS] DIAG REJECTED: diagnostic mode is OFF
2026-09-24T11:54:08.855+03:00 [s1] [I] /diag on
2026-09-24T11:54:08.925+03:00 [s1] [O] [SYS] DIAG ON frame=16B
2026-09-24T11:54:10.637+03:00 [s1] [O] [LNK NRP]  RX  ---/--- Q22  TX  ---/--- Q72
2026-09-24T11:54:11.134+03:00 [s1] [O] [LNK OK]   RX  -60/6 Q22  TX  -58/5 Q75
2026-09-24T11:54:12.169+03:00 [s1] [O] [LNK OK]   RX  -60/6 Q25  TX  -59/6 Q75
2026-09-24T11:54:13.158+03:00 [s1] [O] [LNK OK]   RX  -60/6 Q28  TX  -59/5 Q75
2026-09-24T11:54:14.148+03:00 [s1] [O] [LNK OK]   RX  -60/6 Q31  TX  -59/5 Q75
2026-09-24T11:54:15.137+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q34  TX  -59/5 Q75
2026-09-24T11:54:16.172+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q38  TX  -59/5 Q75
2026-09-24T11:54:17.163+03:00 [s1] [O] [LNK OK]   RX  -60/6 Q41  TX  -59/6 Q75
2026-09-24T11:54:18.153+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q44  TX  -59/6 Q75
2026-09-24T11:54:19.187+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q47  TX  -59/5 Q75
2026-09-24T11:54:20.177+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q50  TX  -59/6 Q75
2026-09-24T11:54:21.167+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q50  TX  -59/6 Q75
2026-09-24T11:54:22.202+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q53  TX  -59/5 Q75
2026-09-24T11:54:23.192+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q53  TX  -59/6 Q75
2026-09-24T11:54:24.227+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q53  TX  -59/6 Q75
2026-09-24T11:54:25.214+03:00 [s1] [O] [LNK OK]   RX  -60/6 Q53  TX  -59/5 Q75
2026-09-24T11:54:26.207+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q53  TX  -59/5 Q75
2026-09-24T11:54:27.198+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q53  TX  -59/5 Q75
2026-09-24T11:54:28.187+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q56  TX  -59/6 Q75
2026-09-24T11:54:29.222+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q59  TX  -58/5 Q75
2026-09-24T11:54:30.212+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q63  TX  -59/5 Q75
2026-09-24T11:54:31.202+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q66  TX  -59/6 Q75
2026-09-24T11:54:32.238+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q69  TX  -59/5 Q75
2026-09-24T11:54:33.227+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q72  TX  -59/5 Q75
2026-09-24T11:54:34.219+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q75  TX  -59/6 Q75
2026-09-24T11:54:35.078+03:00 [s1] [I] /diag size 225
2026-09-24T11:54:35.207+03:00 [s1] [O] [SYS] DIAG SIZE BUSY: heartbeat transaction active
2026-09-24T11:54:35.209+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q78  TX  -59/6 Q75
2026-09-24T11:54:36.242+03:00 [s1] [O] [LNK OK]   RX  -59/6 Q81  TX  -59/6 Q75
2026-09-24T11:54:37.232+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q84  TX  -59/5 Q75
2026-09-24T11:54:38.269+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q88  TX  -58/6 Q75
2026-09-24T11:54:38.898+03:00 [s1] [O] [DIAG] 16B TX=29 RX=28 CRC=0 HDR=0 NRP=1 [30S] TX=29 RX=28 CRC=0 HDR=0 NRP=1 RQ=53 TQ=75
2026-09-24T11:54:39.258+03:00 [s1] [O] [LNK OK]   RX  -59/6 Q91  TX  -59/5 Q75
2026-09-24T11:54:40.247+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q94  TX  -59/5 Q75
2026-09-24T11:54:41.238+03:00 [s1] [O] [LNK OK]   RX  -60/6 Q97  TX  -59/6 Q75
2026-09-24T11:54:42.271+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/5 Q75
2026-09-24T11:54:43.262+03:00 [s1] [O] [LNK OK]   RX  -60/6 Q100 TX  -59/5 Q75
2026-09-24T11:54:44.295+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q100 TX  -59/5 Q75
2026-09-24T11:54:45.242+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/5 Q75
2026-09-24T11:54:46.278+03:00 [s1] [O] [LNK OK]   RX  -60/6 Q100 TX  -59/6 Q75
2026-09-24T11:54:47.269+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/5 Q75
2026-09-24T11:54:48.258+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q100 TX  -59/5 Q75
2026-09-24T11:54:49.293+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/5 Q75
2026-09-24T11:54:50.282+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q100 TX  -59/5 Q75
2026-09-24T11:54:51.272+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/5 Q75
2026-09-24T11:54:52.306+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q100 TX  -59/6 Q75
2026-09-24T11:54:53.297+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q100 TX  -59/5 Q75
